Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Miscellaneous,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,0,21.64,6.22,0,8.04,0.69,0.03,0.42,6.12,0.02,8.28,0.31,1.05,0.2,0.28,0.05,0.1,0,0,0.75,28.37,17.08,0.36,4.5,29.8,0.14,0.01,0.12,0.01,38928000
Albania,0,32,3.42,0,2.67,1.64,0.14,0.64,8.74,0.02,17.76,0.29,3.16,0.11,0,0.05,0.53,0,0,0.92,18,9.24,0.65,22.3,6.2,2.97,0.05,1.79,1.12,2838000
Algeria,0,14.42,0.9,0,4.2,1.22,0.2,0.58,3.9,0.04,8.09,0.11,1.2,0.27,0.16,0.11,0.29,0,0,0.86,35.59,27.36,0.51,26.6,3.9,0.24,0.01,0.17,0.07,44357000
Angola,0,15.3,1.31,0,6.55,0.15,1.42,0.35,11.03,0.03,1.23,0.15,3.99,0.33,0.01,0.71,0.11,0,0,0.03,34.7,22.46,0.12,6.8,25,0.06,0,0.06,0,32522000
Antigua and Barbuda,0,27.7,4.67,0,3.22,0.39,1.53,1.22,14.32,0.09,6.66,0.13,1.36,0.07,0.36,0.04,1.05,0,0,0.2,22.3,14.44,0.25,19.1,0,0.29,0.01,0.19,0.1,98000
Argentina,0,30.36,3.31,0,1.33,1.57,0.17,0.21,19.27,0,5.85,0.19,0.06,0.02,0.02,0.11,0.25,0,0,0.14,19.64,17.31,0.19,28.5,4.6,4.36,0.11,3.91,0.34,45377000
Armenia,0,29.66,6.26,0,2.51,1.62,0.22,0.55,10.82,0.04,10.47,0.27,0.66,0.08,0.01,0.06,1.8,0,0,0.95,20.34,12.81,0.87,20.9,4.3,5.68,0.11,5.4,0.18,2956000
Australia,0,24.11,4.6,0,0.99,0.7,0.45,0.4,11.6,0.05,6.52,0.23,1.29,0.03,0.1,0.04,0.79,0,0,1.61,25.89,20.36,0.21,30.4,0,0.11,0,0.1,0.01,25754000
Austria,0,27.83,12.85,0,1.23,1.21,0.43,0.22,8.11,0,5.15,0.08,1.14,0.01,0.1,0.05,0.44,0,0,0.84,22.18,17.93,0.2,21.9,0,4.74,0.09,4.5,0.15,8914000
Azerbaijan,0,32.12,7.8,0,5.45,2.02,0.21,0.59,12,0.02,9.92,0.16,0.19,0.03,0.02,0.17,1.37,0,0,2.26,17.88,7.15,0.65,19.9,0,2.29,0.03,2.23,0.03,10108000
