Country,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,0,0.2,9.43,0,24.81,0.21,0.04,5.35,1.2,7.58,0.07,0.21,0.07,0.3,0.06,0.88,0.31,1.35,0,0.08,0.53,6.76,40.56,4.5,29.8,0.14,0.01,0.12,0.01,38928000
Albania,1.67,0.14,18.77,0,5.78,0.58,0.21,6.79,1.88,15.72,0.11,0.23,0.94,0.24,0,1.81,0.11,1.54,0,0.15,0.33,11.78,31.23,22.3,6.2,2.97,0.05,1.79,1.12,2838000
Algeria,0.27,0.03,9.63,0,13.68,0.53,0.24,6.38,1.13,7.62,0.17,0.09,0.35,0.48,0.06,4.13,0.22,1.83,0,0.12,1.03,11.65,40.37,26.6,3.9,0.24,0.01,0.17,0.07,44357000
Angola,5.81,0.06,4.93,0,9.11,0.06,1.77,6,2.06,0.83,0.12,0.16,0.42,0.65,0,18.11,0.05,1.85,0,0.01,0.65,2.3,45.07,6.8,25,0.06,0,0.06,0,32522000
Antigua and Barbuda,3.58,0.01,16.66,0,6,0.23,4.15,10.75,5.69,6.37,0.71,0.22,0.22,0.18,0.15,1.45,0.16,3.87,0,0.03,0.81,5.45,33.32,19.1,0,0.29,0.01,0.19,0.1,98000
Argentina,4.27,0.22,19.35,0,8.41,1,0.47,6.04,7.04,10.23,0,0.38,0.01,0.05,0.01,3.04,0.44,3.05,0,0.02,0.95,4.35,30.66,28.5,4.6,4.36,0.11,3.91,0.34,45377000
Armenia,0.4,0.18,13.56,0,7.3,0.58,0.29,6.1,2.27,9.94,0.24,0.3,0.09,0.14,0.01,2.04,0.19,2.66,0,0.11,0.47,16.7,36.44,20.9,4.3,5.68,0.11,5.4,0.18,2956000
Australia,5.54,0.31,21.42,0,5.5,0.44,1.43,4.19,6.7,12.1,0.53,0.42,0.37,0.05,0.05,2.79,0.29,2.54,0,0.32,1.28,5.14,28.58,30.4,0,0.11,0,0.1,0.01,25754000
Austria,7.02,0.86,19.57,0,6.21,0.79,0.76,4.61,4.68,12.38,0,0.11,0.27,0.05,0.05,3.05,0.41,2.61,0,0.24,0.81,5.11,30.43,21.9,0,4.74,0.09,4.5,0.15,8914000
Azerbaijan,3.6,0.25,11.64,0,13.09,0.56,0.2,4.8,2.15,8.32,0.01,0.15,0.01,0.03,0,4.7,0.06,1.55,0,0.19,0.22,10.08,38.36,19.9,0,2.29,0.03,2.23,0.03,10108000
