Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,0,4.78,0.85,0,37.12,0.15,0,1.48,1.2,2.45,0.03,0.13,0.18,0.5,0.1,0.33,0.08,0,2.23,0.13,45.25,2.3,0.75,4.5,29.8,0.14,0.01,0.12,0.01,38928000
Albania,0.91,16.09,1.06,0,16.21,0.81,0.15,3.9,3.87,9.94,0.06,0.26,1.09,0.81,0,1.27,0.25,0,3.44,0.4,33.91,2.82,2.75,22.3,6.2,2.97,0.05,1.79,1.12,2838000
Algeria,0.09,6.03,0.19,0,25.01,0.42,0.12,3.18,1.25,3.99,0.1,0.06,0.27,1.09,0.12,1.93,0.15,0,3.99,0.22,43.97,5.76,2.05,26.6,3.9,0.24,0.01,0.17,0.07,44357000
Angola,1.94,4.69,0.26,0,18.35,0.04,0.84,2.31,2.93,0.51,0.07,0.11,1.08,1.5,0,12.62,0.04,0,2.75,0,45.32,4.27,0.35,6.8,25,0.06,0,0.06,0,32522000
Antigua and Barbuda,2.3,15.37,1.54,0,13.72,0.21,1.73,3.68,7.04,4.69,0.31,0.16,0.6,0.45,0.35,0.84,0.49,0,5.82,0.08,34.62,4.69,1.3,19.1,0,0.29,0.01,0.19,0.1,98000
Argentina,1.44,14.99,1.07,0,16.79,0.86,0.2,1.47,9.45,3.16,0,0.26,0.03,0.12,0.03,1.4,0.23,0,7.05,0.05,34.99,5.54,0.86,28.5,4.6,4.36,0.11,3.91,0.34,45377000
Armenia,0.23,12.83,1.77,0,19.27,0.73,0.18,2.53,4.22,5.64,0.11,0.29,0.23,0.44,0.02,1.25,0.7,0,5.3,0.31,37.17,3.57,3.22,20.9,4.3,5.68,0.11,5.4,0.18,2956000
Australia,1.98,15.61,1.9,0,11.64,0.47,0.6,1.66,7.49,4.8,0.21,0.35,0.66,0.14,0.11,1.31,0.51,0,5.8,0.85,34.39,8.38,1.13,30.4,0,0.11,0,0.1,0.01,25754000
Austria,2.82,15.61,5.25,0,12.37,0.79,0.41,1.6,5.01,4.05,0,0.11,0.69,0.11,0.11,1.46,0.37,0,6.26,0.42,34.39,7.16,1.03,21.9,0,4.74,0.09,4.5,0.15,8914000
Azerbaijan,2.26,8.17,1.31,0,28.74,0.55,0.1,1.61,2.93,3.17,0.03,0.11,0.05,0.08,0.02,2.21,0.31,0,3.42,0.45,41.82,1.21,1.47,19.9,0,2.29,0.03,2.23,0.03,10108000
Bahamas,2.91,14.79,1.42,0,10.73,0.66,1.25,4.46,8.18,2.99,1.08,0.27,1.03,0.12,0.22,0.71,0.42,0,8.67,0.17,35.24,3.16,1.52,32.1,0,2.1,0.04,1.74,0.32,393000
Bangladesh,0,2.37,0.15,0,37.53,0.23,0.83,0.66,0.35,0.77,0.02,0.04,0.13,1.23,0.5,1.93,0.02,0.02,1.43,0.12,47.64,3.43,0.62,3.4,14.7,0.32,0,0.28,0.03,169809000
Barbados,1.12,12.09,1.16,0,15.35,0.59,1.42,1.93,5.66,3.14,0.9,0.1,1.19,1.26,0.29,1.71,0.29,0,8.08,0.28,37.92,4.46,1.05,24.8,3.9,0.58,0.01,0.47,0.11,287000
Belarus,3.3,12.26,2.67,0,14.27,0.85,0.49,1.4,5.71,2.19,0.17,0.35,0.23,0,0.02,4.98,0.4,0,4.6,0.43,37.72,6.12,1.84,26.6,0,2.74,0.02,2.61,0.11,9375000
Belgium,2.31,14.16,4.78,0,13.04,0.69,0.6,1.38,3.28,4.63,0,0.19,0.24,0.29,0.09,2.19,0.12,0,6.81,0.56,35.84,7.07,1.74,24.5,0,6.29,0.19,0,6.1,11515000
Belize,1.52,9.18,2.61,0,18.91,0.3,0.37,2.52,3.95,1.89,0.52,0.04,0.61,2.28,0.04,0.5,0.3,0,7.64,0.13,40.85,5.12,0.74,22.4,7.5,2.87,0.07,2.74,0.06,419000
Benin,1.76,2.49,0.09,0,18.48,0.05,0.53,0.76,1.2,0.53,0.05,0.07,1.87,1.65,1.02,14.46,0.02,0,1.43,0.51,47.53,4.65,0.85,8.2,10.1,0.03,0,0.03,0,12209000
Bolivia,0.79,10.03,0.91,0,21.64,0.55,0.11,2.42,6.75,1.64,0.13,0.09,0.4,0.91,0.09,3.55,0.28,0,5.69,0.79,39.95,2.66,0.64,18.7,17.1,1.95,0.09,1.44,0.42,11633000
Bosnia and Herzegovina,3.89,9.06,0.55,0,21.23,0.29,0.18,1.9,3.03,4.88,0.2,0.11,0.31,0.78,1.04,2.26,0.84,0,3.03,0.26,40.95,2.95,2.26,19.4,0,3.76,0.15,2.96,0.66,3281000
Botswana,1.56,8.12,1.05,0,22.39,0.11,0.19,1.03,1.88,4.68,0.45,0.21,0.49,0.58,0.34,2.67,0.26,0,5.94,0.04,41.88,5.49,0.64,16.1,26.4,1.01,0.01,0.84,0.16,2317000
