Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Miscellaneous,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,0,9.75,0.03,0,35.98,0.41,0.06,0.58,3.13,5.53,0.59,0.2,1.25,0.17,0.19,0.55,0,0,0.14,40.25,0,1.14,0.05,4.5,29.8,0.14,0.01,0.12,0.01,38928000
Albania,0.18,27.75,0.07,0,14.23,1.81,0.63,1.28,7.66,16.48,1.11,0.37,1.46,0,0.89,0.26,0,0,0.27,22.26,0.01,3.25,0.05,22.3,6.2,2.97,0.05,1.79,1.12,2838000
Algeria,0.03,13.84,0.01,0,26.56,1.29,0.64,1.16,3.51,8.06,0.33,0.18,2.55,0.18,1.46,0.46,0,0,0.27,36.17,0.03,3.13,0.14,26.6,3.9,0.24,0.01,0.17,0.07,44357000
Angola,0.63,15.23,0.03,0,20.39,0.18,5.44,1.28,7.62,1.15,0.81,2.15,4.09,0,5.19,0.1,0,0.01,0.01,34.78,0.01,0.81,0.09,6.8,25,0.06,0,0.06,0,32522000
Antigua and Barbuda,0.15,33.19,0.13,0,10.51,0.49,8.21,1.26,16.07,7.43,0.85,0.77,0.88,0.34,0.47,0.41,0,0,0.07,16.82,0.04,1.6,0.29,19.1,0,0.29,0.01,0.19,0.1,98000
Argentina,0.17,31.98,0.01,0,13.67,2.06,1.02,0.52,21.63,5.83,1.43,0.01,0.24,0.03,1.31,0.97,0,0,0.04,18.02,0,1.05,0,28.5,4.6,4.36,0.11,3.91,0.34,45377000
Armenia,0.04,22.88,0.14,0,18.27,1.76,0.88,1.11,8.52,10.04,1.54,0.26,0.92,0.02,0.92,0.55,0,0.01,0.22,27.12,0.02,4.66,0.11,20.9,4.3,5.68,0.11,5.4,0.18,2956000
Australia,0.29,32.98,0.07,0,10.93,1.09,2.86,0.52,18.83,8.43,1.69,0.7,0.27,0.12,0.99,0.7,0,0,0.77,17.02,0.05,1.45,0.22,30.4,0,0.11,0,0.1,0.01,25754000
Austria,0.62,30,0.34,0,13.15,2.15,1.84,0.62,13.65,11.5,0.53,1.5,0.24,0.13,1.05,0.73,0,0.01,0.36,20,0.06,1.53,0,21.9,0,4.74,0.09,4.5,0.15,8914000
Azerbaijan,0.35,16.3,0.06,0,28.22,1.41,0.49,0.56,6.86,6.85,0.64,0.05,0.18,0.01,1.77,0.23,0,0,0.34,33.7,0.02,1.91,0.04,19.9,0,2.29,0.03,2.23,0.03,10108000
Bahamas,0.03,34.17,0.09,0,7.81,1.68,5.73,1.88,20.43,4.83,1.42,0.81,0.28,0.24,0.37,0.43,0,0,0.15,15.83,0.03,2.68,1.13,32.1,0,2.1,0.04,1.74,0.32,393000
Bangladesh,0,9.92,0.01,0,31.72,0.72,5.83,0.31,1.28,1.86,0.22,0.6,3.25,0.75,1.96,0.12,0.01,0.03,0.11,40.08,0,1.2,0.02,3.4,14.7,0.32,0,0.28,0.03,169809000
Barbados,0.13,28.22,0.11,0,12.31,1.45,6.69,0.69,13.99,5.39,0.58,1.23,2.66,0.31,1.42,0.36,0,0,0.25,21.78,0.03,1.48,0.91,24.8,3.9,0.58,0.01,0.47,0.11,287000
Belarus,0.34,27.09,0.13,0,13.72,2.29,2.45,0.44,14.24,6.02,1.96,0.52,0.01,0.02,4.16,0.3,0,0,0.35,22.91,0.02,2.86,0.17,26.6,0,2.74,0.02,2.61,0.11,9375000
Belgium,0.55,28.5,0.47,0,13.77,1.96,3,0.62,10.05,11.91,1.1,0.22,0.7,0.12,1.93,0.42,0,0,0.54,21.51,0.11,2.52,0,24.5,0,6.29,0.19,0,6.1,11515000
Belize,0.2,18.94,0.09,0,18.62,0.94,2.31,1.5,10.75,4.6,0.25,1.79,5.99,0.05,0.41,0.29,0,0,0.13,31.06,0.04,1.38,0.66,22.4,7.5,2.87,0.07,2.74,0.06,419000
Benin,0.74,11.16,0.01,0,18.4,0.23,3.69,0.35,5.69,1.09,0.45,3.25,4.28,1.63,7.78,0.02,0,0,0.57,38.84,0,1.75,0.07,8.2,10.1,0.03,0,0.03,0,12209000
Bolivia,0.18,22.69,0.02,0,18.04,1.46,0.56,0.91,17.08,3.21,0.35,0.51,2.07,0.1,3.48,0.49,0,0,0.43,27.31,0.01,0.92,0.16,18.7,17.1,1.95,0.09,1.44,0.42,11633000
Bosnia and Herzegovina,0.53,18.33,0.06,0,19.26,0.79,0.83,0.73,6.71,9.38,0.55,0.69,1.7,1.35,1.86,0.94,0,0.01,0.21,31.66,0.02,4.17,0.22,19.4,0,3.76,0.15,2.96,0.66,3281000
Botswana,0.37,20.29,0.15,0,21.89,0.33,0.82,0.38,8.36,9.4,1.23,1.56,1.32,0.41,1.74,0.31,0,0,0.04,29.71,0.02,1.19,0.5,16.1,26.4,1.01,0.01,0.84,0.16,2317000
Brazil,0.28,29.06,0.13,0,12.17,1.18,1.35,0.78,18.75,7.01,0.64,0.48,4.73,0.02,0.86,0.69,0.02,0.02,0.07,20.94,0.02,0.81,0,22.3,0,4.46,0.11,3.98,0.37,211812000
Bulgaria,0.67,24.99,0.24,0.01,17.57,1.61,1.34,0.75,11.63,8.78,1.37,0.76,0.79,1.63,0.7,0.59,0,0,0.13,25.01,0.02,1.31,0.1,27.4,3.6,3.23,0.13,2.79,0.3,6927000
Burkina Faso,1.37,7.18,0.01,0,29.18,0.45,1.48,0.06,2.98,1.77,0.51,5.76,5.6,0.07,0.25,0.03,0,0,0.09,42.81,0,0.38,0.04,4.5,20,0.05,0,0.05,0.01,20903000
Cabo Verde,0.32,18.53,0.06,0.01,20.57,1,2.3,0.65,8.47,6.32,0.37,0.35,5.21,0.67,1.07,0.29,0,0,0.05,31.47,0.04,1.69,0.56,10.6,12.6,2.59,0.02,2.46,0.1,556000
Cambodia,0.48,14.65,0.02,0,25.84,0.3,10.26,0.3,3.26,0.34,0.47,4.57,2.22,0.2,0.5,0.05,0.02,0,0.04,35.35,0,0.89,0.23,3.5,16.4,0,0,0,0,15497000
Cameroon,0.57,8.11,0.01,0,19.77,0.07,3.42,1.51,3.48,0.81,0.32,3.83,8.98,0.86,3.33,0.1,0,0,0.32,41.89,0.01,2.54,0.08,9.5,9.9,0.12,0,0.11,0.01,26598000
Canada,0.35,25.18,0.69,0,12.92,2.06,2.88,0.69,13.73,5.79,0.04,2.42,3.75,0.15,1.38,0.64,0,0.01,0.55,24.82,0.08,1.59,0.29,31.3,0,2.11,0.05,1.91,0,38190000
Central African Republic,0.2,21.85,0.1,0,8.83,0.15,2.43,1,15.32,1.64,2.21,3.61,5.58,0.01,7.77,0.39,0,0.04,0,28.15,0,0.69,0.03,6.3,59.6,0.1,0,0.1,0,4830000
